run_id,challenge_id,user_id,status,framing_text_len,response_type,F,J,S,n_cycles
b65a623f-b054-48f1-866b-cfb0b91b7f3f,2c5a492b-d981-4af1-b2cc-efab76524b05,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,2,2.000,1.000,1
49425da2-eeaa-495b-9fae-a326a0ec0a43,cace8a2a-ba69-4e42-abba-0a7aa96d92cf,5de6232b-edcc-44e4-9258-54b43b59fee8,completed,14,submitted,3,3.000,3.000,1
8b4cd6e0-6090-4b5e-96d4-e24fce37bf52,37322546-faa7-43c8-9812-94e5b63cb8c0,5de6232b-edcc-44e4-9258-54b43b59fee8,completed,14,submitted,3,1.667,2.333,3
1392977a-2ad3-492e-ad97-3c1776d3e887,a0347dc0-93b7-4772-b482-045e24a5eccf,5de6232b-edcc-44e4-9258-54b43b59fee8,completed,14,submitted,3,2.000,2.000,2
18cf0244-b221-450e-bf14-a2b6dc4ff964,9226d4ea-a08f-4a78-95ef-13b58cf13ef7,5de6232b-edcc-44e4-9258-54b43b59fee8,completed,14,submitted,3,3.000,3.000,1
dc490a91-e9e9-4f55-b620-34b8e9cc4986,6f3cd486-5134-4378-b7d2-08db55b1d93f,5de6232b-edcc-44e4-9258-54b43b59fee8,completed,14,submitted,3,1.667,2.333,3
f4d455df-5a31-49ec-ade9-6bc4585dd385,3b7d6eeb-706b-455d-a016-2a3d6ee21262,5de6232b-edcc-44e4-9258-54b43b59fee8,completed,14,submitted,2,1.000,2.000,1
c7d0fd6a-cafb-464d-aeb4-4168def38b3e,a06b7c6a-5ae4-4f87-9d75-5332346187fe,c44339f2-a0b5-4282-bfd2-495008c1f512,completed,14,submitted,3,2.000,2.000,2
4f3248e8-ad47-4f40-84d2-804cc2c59d5f,5fac6dd8-1aad-4a19-be56-c6ad82014e75,c44339f2-a0b5-4282-bfd2-495008c1f512,completed,14,submitted,2,1.500,2.000,2
515118f8-e410-47d1-8b00-cfc9377d2c01,490c945c-c640-4d27-b1cf-467e1d9dcdc9,638dfd1c-842c-4d21-be04-489cd32cd91e,completed,14,submitted,2,1.000,2.333,3
a956da30-71cc-4d27-bba8-1a666cfb7d77,dbffb9d4-af1e-44c8-b5ae-8e652c28461e,638dfd1c-842c-4d21-be04-489cd32cd91e,completed,14,submitted,2,1.000,2.000,3
0c0b1815-0989-4554-87e6-d70b1a7c650d,daa0aeb8-def0-4220-80b8-fee540ba1c0b,638dfd1c-842c-4d21-be04-489cd32cd91e,completed,14,submitted,2,1.000,1.000,1
07eed974-8a91-41c1-b72f-11f60e0b4e67,44a9b13c-8d96-4080-8ed0-679c27cf4c41,638dfd1c-842c-4d21-be04-489cd32cd91e,completed,14,submitted,3,2.333,2.667,3
b9f778b6-d745-4771-88ce-b1170ab4dd95,4f0ee6f6-0002-484c-b1b0-8d4cf2195add,638dfd1c-842c-4d21-be04-489cd32cd91e,completed,14,submitted,2,2.000,1.667,3
3fb45539-3b8d-45f1-9ec9-5a978dbf6115,047bd241-4e93-461b-85d5-c09281a38d15,638dfd1c-842c-4d21-be04-489cd32cd91e,completed,14,submitted,1,2.000,1.000,2
5ce34bf4-45ed-4206-ba61-c23701ad378f,2c5a492b-d981-4af1-b2cc-efab76524b05,638dfd1c-842c-4d21-be04-489cd32cd91e,completed,14,submitted,3,1.000,2.000,1
4b33ef81-9109-43c3-8813-5f88397041aa,39420515-111f-402d-aaab-42462cffe0f9,638dfd1c-842c-4d21-be04-489cd32cd91e,completed,14,submitted,1,1.500,1.500,2
a13dcfee-6aba-45aa-9378-cdeceb133946,8bdba25d-2627-4b38-971d-dec0cc708a73,7f14992e-952b-43d5-b110-386c2269b853,completed,14,submitted,2,1.000,2.000,1
c54b15a8-8287-432d-93b6-ac31e71378ab,f068a927-e895-4ba7-b04d-6f7b743b98b3,37d6b40a-eab8-459e-821f-b40bd3e13027,completed,14,submitted,2,2.000,2.000,2
4295f89e-77d2-4a01-9510-633bd729e267,37322546-faa7-43c8-9812-94e5b63cb8c0,37d6b40a-eab8-459e-821f-b40bd3e13027,completed,14,submitted,2,1.000,1.000,1
cc520000-4a4e-40a4-928f-7c9dab3302e8,daa0aeb8-def0-4220-80b8-fee540ba1c0b,37d6b40a-eab8-459e-821f-b40bd3e13027,completed,14,submitted,1,2.000,1.500,2
cd8ec92b-f9a4-413a-a037-caa37da70996,3c644675-bc13-4aed-ae95-10c960e6ad7e,37d6b40a-eab8-459e-821f-b40bd3e13027,completed,14,submitted,1,2.000,1.000,1
2890238b-ec4b-4c0b-90f6-613c7355efa5,0307fd59-cec7-42f2-b98d-9b4d3612e2c6,37d6b40a-eab8-459e-821f-b40bd3e13027,completed,14,submitted,1,2.500,2.000,2
71962189-3199-4d45-ad1f-9e2f8941cc66,a0a07bd4-2a97-42ad-91e6-ee6084edf6b3,37d6b40a-eab8-459e-821f-b40bd3e13027,completed,14,submitted,1,2.333,1.667,3
5942d747-23e7-4256-bfaf-6e0a630b99fb,686b2844-cb5c-4a7f-9ac7-9249ed85d93a,c44339f2-a0b5-4282-bfd2-495008c1f512,completed,14,submitted,1,2.000,2.000,2
cb196cee-f130-4e05-90f4-a939d21713d2,a0347dc0-93b7-4772-b482-045e24a5eccf,c44339f2-a0b5-4282-bfd2-495008c1f512,completed,14,submitted,1,2.000,2.000,1
62d33cb1-3bca-46b7-85dc-e0a48c3e3e16,8bdba25d-2627-4b38-971d-dec0cc708a73,c44339f2-a0b5-4282-bfd2-495008c1f512,completed,14,submitted,2,2.500,2.000,2
60da55a2-e98e-4311-a749-20cfc67afa38,a0a07bd4-2a97-42ad-91e6-ee6084edf6b3,c44339f2-a0b5-4282-bfd2-495008c1f512,completed,14,submitted,2,1.000,2.000,2
eccf1cf9-7890-49f1-8e78-194c357c9787,e69932c6-a7ad-47e2-a81d-25a5ca3a5910,c44339f2-a0b5-4282-bfd2-495008c1f512,completed,14,submitted,2,1.500,1.000,2
631b2d74-7f67-4628-a5e7-784c04c71d23,daa0aeb8-def0-4220-80b8-fee540ba1c0b,c44339f2-a0b5-4282-bfd2-495008c1f512,completed,14,submitted,1,2.000,1.500,2
9ee8c0ad-a12f-4c4c-973d-fd81b6eaeaad,1c192967-6b59-477a-ba87-9eca69778f1b,7f14992e-952b-43d5-b110-386c2269b853,completed,14,submitted,2,2.667,3.000,3
edfa2bda-60ed-468c-a1f7-f3bec7d08107,f4fe9b5e-4b9f-49cc-9748-b4fd4f8209fc,7f14992e-952b-43d5-b110-386c2269b853,completed,14,submitted,1,2.500,1.500,2
c17a0ab4-8c9a-41ad-9fb3-0c4d967b76a3,e69932c6-a7ad-47e2-a81d-25a5ca3a5910,7f14992e-952b-43d5-b110-386c2269b853,completed,14,submitted,3,1.500,2.500,2
4fdaa3af-933d-4d0d-bf36-ec01a94f3843,37322546-faa7-43c8-9812-94e5b63cb8c0,7f14992e-952b-43d5-b110-386c2269b853,completed,14,submitted,3,2.000,3.000,1
4a678e87-57dc-446f-a4bf-8882dfb301ad,3c644675-bc13-4aed-ae95-10c960e6ad7e,7f14992e-952b-43d5-b110-386c2269b853,completed,14,submitted,1,3.000,2.000,1
fa45a816-d646-4aee-bbc3-82589104d230,dfacf4d9-0368-44a4-b96b-269130741636,7f14992e-952b-43d5-b110-386c2269b853,completed,14,submitted,2,2.000,3.000,2
be5ac20f-1153-4ff6-bd28-d180072905d9,44a9b13c-8d96-4080-8ed0-679c27cf4c41,7f14992e-952b-43d5-b110-386c2269b853,completed,14,submitted,3,2.000,2.667,3
85072e4d-b7f3-4153-9bc0-77d89da88aa5,7191a533-0c03-49cf-a275-faaf40d002e0,ea03b361-1ca0-4614-b918-0c923af15032,in_progress,7,mc,2,2.000,2.000,1
db603a21-41ba-4ecb-ab1d-54f202596c7e,3978abd9-d46c-4d07-a21f-2d8d50deedd1,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,3,1.333,2.000,3
21e1c313-5338-4b82-bf40-3bf95905fc56,686b2844-cb5c-4a7f-9ac7-9249ed85d93a,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,3,1.667,1.667,3
ad93edfb-0575-4158-8a65-4c19f127af71,cf2be4db-214d-46e6-976c-606f7bb7c85c,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,3,1.500,3.000,2
55c9c3dc-3831-4bd4-a49d-202420c36a94,39420515-111f-402d-aaab-42462cffe0f9,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,3,2.333,2.000,3
6cca7bbd-7eac-449f-9e3a-2ac49a5c141c,4f0ee6f6-0002-484c-b1b0-8d4cf2195add,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,3,3.000,2.500,2
c646fd7a-dcfc-4d8a-a63a-7c56711a3ca1,f5572d67-71fc-4ea5-a32e-9144fcba14a5,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,14,submitted,2,2.333,2.333,3
facc4b13-e3bf-4583-8ce0-b1a02226a1cf,6f3cd486-5134-4378-b7d2-08db55b1d93f,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,14,submitted,2,2.000,3.000,1
c528c374-de4c-43f4-bc0d-de5d4a3a5907,985007e1-4146-4d66-a7d3-f318566f365c,37d6b40a-eab8-459e-821f-b40bd3e13027,completed,14,submitted,3,2.500,2.500,2
1f2d8acc-0421-49f1-a8b3-dae53d3b35d6,44a9b13c-8d96-4080-8ed0-679c27cf4c41,37d6b40a-eab8-459e-821f-b40bd3e13027,completed,14,submitted,2,2.000,3.000,2
fa6f07c9-372c-400c-b203-d9e0405f3429,72801f7b-3708-4ec8-bc4d-a980e4d9b991,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,1,1.000,1.000,1
a5b45f67-5c5d-441c-8451-c27ff19e328b,72801f7b-3708-4ec8-bc4d-a980e4d9b991,638dfd1c-842c-4d21-be04-489cd32cd91e,completed,14,submitted,3,2.000,3.000,2
d445aeed-a836-4484-b473-c8df0c3a0255,11ee3813-08e6-4dc9-a14b-3594d52d013d,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,2,2.000,2.000,3
bcaa6c83-fd06-4f98-98cd-4bdf348ebc6d,44b0ab83-03ee-4536-8bc0-69e2a4e6d969,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,1,3.000,2.000,1
b4e2d8d8-2221-4145-a2bd-44212f617eef,b04380df-ac8a-4097-bf2c-65075cb9ecdb,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,1,1.667,2.000,3
0157162b-1e4a-4efb-a0f4-e256f8f4ccb6,877784dd-8271-4236-8f8e-05a03fb3abad,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,3,1.667,2.333,3
1afe620e-8ea1-492e-a16a-d47df44dee6e,877784dd-8271-4236-8f8e-05a03fb3abad,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,14,submitted,2,1.500,1.500,2
6ae67699-f8af-4509-9bf6-cccd934b00ed,7191a533-0c03-49cf-a275-faaf40d002e0,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,1,2.000,1.333,3
80dc2631-d3e5-4193-a45d-63b5c7dfc2c0,2efaf80e-b9ab-48c4-a7a4-55ae7942b420,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,3,1.500,3.000,2
758ed73c-6d4e-4855-9e3a-d9f194508495,48cbf7dc-de4c-4793-ad31-56c7b4797cff,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,1,2.500,1.500,2
f1c70af1-f41a-429c-8fd2-83b56bef73b0,c4907547-e766-4966-8681-dd861cd5b6dd,c44339f2-a0b5-4282-bfd2-495008c1f512,completed,14,submitted,3,1.000,2.000,1
50de3a05-b7b4-4963-ba14-f68fdbc51e72,c4907547-e766-4966-8681-dd861cd5b6dd,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,3,2.500,2.500,2
c0d612ad-cda1-4ad9-9d01-0cd9e9a76284,95342625-0de6-4259-897d-9fb2cc47d348,7f14992e-952b-43d5-b110-386c2269b853,completed,14,submitted,3,2.000,1.667,3
e476c7c3-a8f1-4394-bdf7-e37410a6b8ca,e9a452c9-0665-4cfa-bbd2-3ca90a3d53e8,c44339f2-a0b5-4282-bfd2-495008c1f512,completed,14,submitted,3,2.000,3.000,1
75e44be4-98bf-4bdf-9193-457646a5f6cc,daeb6bb6-5bd7-4fb4-bfd4-d5bcc53e4b19,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,1,1.333,1.333,3
ad0ed41f-73a0-475e-ba37-62ba51452144,daeb6bb6-5bd7-4fb4-bfd4-d5bcc53e4b19,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,14,submitted,1,2.000,1.500,2
6c720818-c3b4-44c0-bc80-2feeb8cf62a3,d6084a86-63d9-4df0-9c54-6b02964028b1,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,2,2.500,1.500,2
5f446eed-34c8-4256-be92-f8d47420d998,d6084a86-63d9-4df0-9c54-6b02964028b1,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,14,submitted,1,1.000,2.000,1
91ec5bca-3b14-4dd4-aad1-ea47e2124009,715545be-f6a4-47bb-8f21-e015d1b95493,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,2,1.000,2.000,1
3b468842-c959-48df-bf40-10296a253698,715545be-f6a4-47bb-8f21-e015d1b95493,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,14,submitted,3,2.000,3.000,1
3637e85a-c226-49c9-ac4c-f5a36d281ea0,89f1b174-3028-4d97-b8a2-d0a8a94c64f4,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,1,2.000,1.500,2
3f8efc2e-5b02-4849-beef-a694f041194e,3a10159d-5ad1-4f3d-9c59-5a96070896ed,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,1,1.000,2.000,1
8cd19947-97a5-40f1-b263-a94532767a06,3a10159d-5ad1-4f3d-9c59-5a96070896ed,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,14,submitted,3,2.000,2.000,3
65513446-c6a5-4e1a-8a8e-07e38ae05742,24045f32-96f5-441a-9dfb-de6e76870bd1,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,1,1.500,1.500,2
432ce624-aadc-4a0e-ad83-9ea3da2d7f2d,24045f32-96f5-441a-9dfb-de6e76870bd1,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,14,submitted,3,2.000,2.333,3
15141b45-c3b9-40a4-9d28-d4410e8080b0,fbd7a9ef-8ecf-4cf2-a83f-f5afbb46df1c,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,2,2.333,2.333,3
87b3dce2-79af-4f5e-b59d-fe245d0e401b,12a91f52-179e-4fa3-88e0-8c6e35478261,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,3,3.000,3.000,1
e79b53b5-9544-4566-ad57-ade0f1fc892f,63297d66-1763-406e-8b9c-888adeb066c6,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,3,1.000,2.000,1
b3539d71-e62b-4955-9185-0492723c5315,63297d66-1763-406e-8b9c-888adeb066c6,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,2,2.333,2.667,3
e948f909-2da6-4ecc-beb2-d5a9d42babc4,1a0962f2-2823-4593-a396-47c928c772e8,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,1,2.000,2.000,3
13821bb6-db9b-43e9-8905-75ee5e2bd9e0,1a0962f2-2823-4593-a396-47c928c772e8,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,3,2.500,2.500,2
6ccd2d5a-e021-44c2-83b7-273c6e6faa10,c6ef197b-6a62-4f87-9690-48613eb7f05f,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,1,1.000,1.000,1
d54f9e83-c5fc-47a8-aaf4-0d641022b6ce,c6ef197b-6a62-4f87-9690-48613eb7f05f,638dfd1c-842c-4d21-be04-489cd32cd91e,completed,14,submitted,2,2.000,1.000,1
f1d794d0-7a91-4753-b9dd-42b369b2b205,41761408-b508-4167-bfb7-95b0be3861a6,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,2,2.333,3.000,3
e63d0e94-9178-4124-b66f-8453c32912c7,41761408-b508-4167-bfb7-95b0be3861a6,638dfd1c-842c-4d21-be04-489cd32cd91e,completed,14,submitted,1,2.000,1.667,3
0b418e8b-b810-408d-b43d-5936d4db6636,86f27440-8938-4ac1-96bd-33413cb1dfc6,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,1,2.500,1.500,2
120ec016-47ae-4703-bff8-7e165cfc0b26,86f27440-8938-4ac1-96bd-33413cb1dfc6,638dfd1c-842c-4d21-be04-489cd32cd91e,completed,14,submitted,1,1.000,2.000,1
099a2aba-d2af-4418-82e6-73a9a8434a08,c687e40f-4cf7-4070-879b-b1c17301aada,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,1,2.000,2.000,1
bfc7472b-ceb5-40b1-adf2-223fa44761c1,e61e4b06-d5ac-464d-82ce-ff70a9c069b0,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,1,1.000,1.000,1
c9d77276-4bf0-4222-bd69-b78f843e025d,2858a381-b775-44b0-bbcf-fa759e1211a4,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,3,3.000,3.000,1
acffd458-7789-49b7-80f6-c2cbd233eab7,1383a53c-ec18-487c-ae89-e36f51a855c3,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,2,3.000,2.500,2
0f97b4f3-f9d7-40a8-bf53-0fa6b209d84a,8760f85e-190e-473f-ad43-c1e654c8aade,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,2,2.000,3.000,2
f32e383c-7496-4d82-bfd7-afd8be9e3b6f,8760f85e-190e-473f-ad43-c1e654c8aade,638dfd1c-842c-4d21-be04-489cd32cd91e,completed,14,submitted,1,2.000,2.000,1
7f979fbb-b858-4deb-96ae-7de2304e02b4,cd3f83ad-900a-4c53-ac7a-5134caa91d5c,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,3,2.000,2.333,3
356b33d8-9082-42aa-a758-9dc720d22e47,cd3f83ad-900a-4c53-ac7a-5134caa91d5c,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,14,submitted,2,2.333,2.333,3
